name,price,image_url,units,category
"Chilli - Green Long, Medium (Loose)",11.56,https://www.bigbasket.com/media/uploads/p/l/10000081_19-fresho-chilli-green-long-medium.jpg,100 g,Fruits & Vegetables
"Chilli - Green Long, Medium (Loose)",28.9,https://www.bigbasket.com/media/uploads/p/l/10000082_19-fresho-chilli-green-long-medium.jpg,250 g,Fruits & Vegetables
"Chilli - Green Long, Medium (Loose)",57.79,https://www.bigbasket.com/media/uploads/p/l/10000083_17-fresho-chilli-green-long-medium.jpg,500 g,Fruits & Vegetables
"Chilli - Green Long, Medium (Loose)",115.58,https://www.bigbasket.com/media/uploads/p/l/10000333_14-fresho-chilli-green-long-medium.jpg,1 kg,Fruits & Vegetables
Curry Leaves,15.71,https://www.bigbasket.com/media/uploads/p/l/10000104_17-fresho-curry-leaves.jpg,100 g,Fruits & Vegetables
Curry Leaves,39.29,https://www.bigbasket.com/media/uploads/p/l/10000105_16-fresho-curry-leaves.jpg,250 g,Fruits & Vegetables
Curry Leaves,157.14,https://www.bigbasket.com/media/uploads/p/l/10000327_13-fresho-curry-leaves.jpg,1 kg,Fruits & Vegetables
Bitter Gourd (Loose),79.22,https://www.bigbasket.com/media/uploads/p/l/10000048_21-fresho-bitter-gourd.jpg,1 kg,Fruits & Vegetables
Bitter Gourd (Loose),39.61,https://www.bigbasket.com/media/uploads/p/l/10000049_20-fresho-bitter-gourd.jpg,500 g,Fruits & Vegetables
"Mint Leaves - Cleaned, without roots",13.51,https://www.bigbasket.com/media/uploads/p/l/10000137_19-fresho-mint-leaves-cleaned-without-roots.jpg,100 g,Fruits & Vegetables
"Mint Leaves - Cleaned, without roots",135.06,https://www.bigbasket.com/media/uploads/p/l/10000329_15-fresho-mint-leaves-cleaned-without-roots.jpg,1 kg,Fruits & Vegetables
Brinjal - Varikatri (Loose),71.43,https://www.bigbasket.com/media/uploads/p/l/10000058_20-fresho-brinjal-varikatri.jpg,1 kg,Fruits & Vegetables
Brinjal - Varikatri (Loose),17.86,https://www.bigbasket.com/media/uploads/p/l/10000059_20-fresho-brinjal-varikatri.jpg,250 g,Fruits & Vegetables
Brinjal - Varikatri (Loose),35.71,https://www.bigbasket.com/media/uploads/p/l/10000060_21-fresho-brinjal-varikatri.jpg,500 g,Fruits & Vegetables
Diaper Pants - Medium,1199,https://www.bigbasket.com/media/uploads/p/l/40131176_8-pampers-diaper-pants-medium.jpg,76 pcs,Baby Care
